Start,End,Sleep Quality,Steps,Movements per hour,Time in bed (seconds),Time asleep (seconds),SQ*in_bed
12-05-2019 23:26,13-05-2019 06:11,60%,8350,35,24289.2,22993.8,14573.52
13-05-2019 22:10,14-05-2019 06:10,73%,4746,78.6,28810.2,25160.9,21031.446
14-05-2019 21:43,15-05-2019 06:10,86%,4007,60.5,30461.5,28430.8,26196.89
15-05-2019 23:11,16-05-2019 06:13,77%,6578,45.2,25327.6,23132.5,19502.252
16-05-2019 23:12,17-05-2019 06:20,78%,4913,44.6,25698.4,22614.6,20044.752
19-05-2019 01:25,19-05-2019 08:43,72%,4020,58,26278.2,20759.8,18920.304
20-05-2019 22:41,21-05-2019 06:22,73%,5133,64,27705.2,24565.2,20224.796
21-05-2019 22:39,22-05-2019 06:00,78%,4927,51,26488.8,22780.4,20661.264
22-05-2019 22:36,23-05-2019 06:03,84%,6637,43.5,26819.9,25925.9,22528.716
23-05-2019 23:15,24-05-2019 06:33,88%,4298,31.6,26304.2,23761.4,23147.696
26-05-2019 00:21,26-05-2019 08:19,71%,4741,69,28708.4,26603.1,20382.964
26-05-2019 22:49,27-05-2019 06:09,73%,6110,56.5,26417.5,22190.7,19284.775
27-05-2019 22:31,28-05-2019 05:43,74%,3999,52.4,25882,23466.4,19152.68
28-05-2019 22:57,29-05-2019 06:01,75%,5811,49.1,25422.7,22711,19067.025
29-05-2019 22:24,30-05-2019 06:10,92%,5256,34.9,27976.8,26111.6,25738.656
30-05-2019 21:58,31-05-2019 06:12,73%,5286,68.2,29627.1,26664.3,21627.783
31-05-2019 23:28,01-06-2019 06:39,85%,4188,35,25888.3,23299.5,22005.055
01-06-2019 22:27,02-06-2019 07:02,97%,11111,40.3,30908.4,28538.8,29981.148
02-06-2019 22:34,03-06-2019 06:11,75%,11651,56.3,27427,24501.4,20570.25
03-06-2019 22:45,04-06-2019 06:11,84%,7521,39.7,26737.4,24865.8,22459.416
04-06-2019 21:47,05-06-2019 06:47,100%,7373,40.4,32414.1,29929,32414.1
05-06-2019 22:28,06-06-2019 05:41,75%,703,48.8,25941.1,22828.2,19455.825
06-06-2019 21:51,07-06-2019 07:10,87%,7657,56.6,33543,28846.9,29182.41
07-06-2019 23:50,08-06-2019 07:54,81%,3240,53.4,29015.9,27081.5,23502.879
09-06-2019 00:25,09-06-2019 07:37,77%,7252,46.6,25974.2,22251.2,20000.134
09-06-2019 22:15,10-06-2019 06:33,76%,6679,61.5,29884.8,28789,22712.448
10-06-2019 22:23,11-06-2019 06:00,87%,1095,39.9,27443.1,26436.9,23875.497
11-06-2019 22:30,12-06-2019 06:20,85%,5268,44.4,28172.3,26575.9,23946.455
12-06-2019 21:43,13-06-2019 05:50,90%,5385,42,29209.3,25120,26288.37
13-06-2019 23:07,14-06-2019 06:10,68%,6441,56.4,25371.4,23426.3,17252.552
14-06-2019 23:25,15-06-2019 06:57,86%,10110,38.6,27100.1,22402.8,23306.086
15-06-2019 21:41,16-06-2019 07:53,88%,1177,54.5,36709.5,31692.5,32304.36
16-06-2019 22:03,17-06-2019 06:10,66%,9383,71,29258.1,22431.2,19310.346
17-06-2019 22:37,18-06-2019 05:40,65%,4934,60.5,25411.6,22531.6,16517.54
18-06-2019 22:21,19-06-2019 06:30,86%,10232,47.9,29327.3,26394.6,25221.478
19-06-2019 23:33,20-06-2019 05:50,72%,12379,38.9,22622.4,19983.1,16288.128
20-06-2019 22:36,21-06-2019 04:51,69%,7004,43.5,22515.2,21389.4,15535.488
01-07-2019 22:06,02-07-2019 06:39,69%,497,72.3,30790.3,24940.2,21245.307
02-07-2019 22:16,03-07-2019 06:00,62%,7203,73.9,27808.7,25769.4,17241.394
03-07-2019 22:33,04-07-2019 06:01,68%,4547,63,26854.1,22288.9,18260.788
04-07-2019 22:29,05-07-2019 06:00,71%,3733,60.4,27090.8,24020.5,19234.468
05-07-2019 23:43,06-07-2019 07:52,87%,7485,47.9,29313.2,26479.6,25502.484
07-07-2019 01:40,07-07-2019 07:35,68%,6540,39.7,21278.6,21136.8,14469.448
08-07-2019 22:44,09-07-2019 06:31,65%,20781,71.9,28013.7,25585.8,18208.905
09-07-2019 23:02,10-07-2019 05:35,71%,2493,45.9,23576.4,21061.6,16739.244
11-07-2019 20:30,12-07-2019 04:56,87%,1817,51.9,30402.3,27767.4,26450.001
12-07-2019 20:32,13-07-2019 04:31,94%,9034,36.6,28710.4,25360.8,26987.776
